X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_lat,stop_lon
-84.344213,33.920862,9095,53,908051,DUNWOODY STATION,33.920862,-84.344213
-84.369357,33.823385,9096,57,908054,LINDBERGH CENTER STATION,33.823385,-84.369357
-84.369324,33.823492,9097,58,908055,LINDBERGH CENTER STATION,33.823492,-84.369324
-84.344268,33.92113,9098,61,908047,DUNWOODY STATION,33.92113,-84.344268
-84.387414,33.789669,9101,111,906369,ARTS CENTER STATION,33.789669,-84.387414
-84.387272,33.788828,9102,112,906370,ARTS CENTER STATION,33.788828,-84.387272
-84.386342,33.781247,9103,133,908374,MIDTOWN  STATION,33.781247,-84.386342
-84.386353,33.781355,9104,134,908375,MIDTOWN STATION,33.781355,-84.386353
-84.440542,33.677424,9113,217,908628,EAST POINT STATION,33.677424,-84.440542
-84.428768,33.70088,9114,218,908629,LAKEWOOD-FT MCPHERSON STATION,33.70088,-84.428768
-84.413653,33.736564,9115,219,908704,WEST END STATION,33.736564,-84.413653
-84.413663,33.735705,9116,220,908705,WEST END STATION,33.735705,-84.413663
-84.428865,33.700298,9117,221,908706,LAKEWOOD-FT MCPHERSON STATION,33.700298,-84.428865
-84.440704,33.676985,9118,222,908707,EAST POINT STATION,33.676985,-84.440704
-84.367629,33.84781,9122,244,908718,BUCKHEAD STATION,33.84781,-84.367629
-84.367716,33.847944,9123,249,908639,BUCKHEAD STATION,33.847944,-84.367716
-84.387258,33.771472,9127,280,907913,NORTH AVENUE STATION,33.771472,-84.387258
-84.387204,33.771741,9128,281,907914,NORTH AVENUE STATION,33.771741,-84.387204
-84.35189,33.910757,9131,394,908872,MEDICAL CENTER STATION,33.910757,-84.35189
-84.351759,33.910739,9132,399,908885,MEDICAL CENTER STATION,33.910739,-84.351759
-84.387504,33.766111,9133,429,908911,CIVIC CENTER STATION,33.766111,-84.387504
-84.387504,33.766236,9134,430,908912,CIVIC CENTER STATION,33.766236,-84.387504
-84.42503,33.7173,9139,693,908301,OAKLAND CITY STATION,33.7173,-84.42503
-84.425138,33.716978,9140,694,908302,OAKLAND CITY STATION,33.716978,-84.425138
-84.357253,33.944377,9141,730,908480,NORTH SPRINGS STATION,33.944377,-84.357253
-84.391397,33.753837,9143,797,908981,FIVE POINTS STATION,33.753837,-84.391397
-84.391876,33.754123,9152,806,908990,FIVE POINTS STATION,33.754123,-84.391876
-84.446198,33.640831,9154,808,908695,AIRPORT STATION,33.640831,-84.446198
