,source,dest,duration,line
0,north_springs_station,sandy_springs_station,2,red
1,sandy_springs_station,dunwoody_station,2,red
2,dunwoody_station,medical_center_station,2,red
3,medical_center_station,buckhead_station,5,red
4,buckhead_station,lindbergh_center_station,4,red
5,lindbergh_center_station,arts_center_station,4,red
6,arts_center_station,midtown_station,2,red
7,midtown_station,north_avenue_station,1,red
8,north_avenue_station,civic_center_station,1,red
9,civic_center_station,peachtree_center_station,1,red
10,peachtree_center_station,five_points_station,2,red
11,five_points_station,garnett_station,2,red
12,garnett_station,west_end_station,3,red
13,west_end_station,oakland_city_station,2,red
14,oakland_city_station,lakewood_station,2,red
15,lakewood_station,east_point_station,3,red
16,east_point_station,college_park_station,3,red
17,college_park_station,airport_station,2,red
18,he_holmes_station,west_lake_station,2,blue
19,west_lake_station,ashby_station,2,blue
20,ashby_station,vine_city_station,2,blue
21,vine_city_station,dome_station,2,blue
22,dome_station,five_points_station,2,blue
23,five_points_station,georgia_state_station,2,blue
24,georgia_state_station,king_memorial_station,2,blue
25,king_memorial_station,inman_park_station,2,blue
26,inman_park_station,candler_park_station,2,blue
27,candler_park_station,east_lake_station,2,blue
28,east_lake_station,decatur_station,2,blue
29,decatur_station,avondale_station,2,blue
30,avondale_station,kensington_station,2,blue
31,kensington_station,indian_creek_station,2,blue
32,airport_station,college_park_station,2,gold
33,college_park_station,east_point_station,2,gold
34,east_point_station,lakewood-ft_mcpherson_station,2,gold
35,lakewood-ft_mcpherson_station,oakland_city_station,2,gold
36,oakland_city_station,west_end_station,2,gold
37,west_end_station,garnett_station,2,gold
38,garnett_station,five_points_station,2,gold
39,five_points_station,peachtree_center_station,2,gold
40,peachtree_center_station,civic_center_station,2,gold
41,civic_center_station,north_avenue_station,2,gold
42,north_avenue_station,midtown__station,2,gold
43,midtown__station,arts_center_station,2,gold
44,arts_center_station,lindbergh_center_station,2,gold
45,lindbergh_center_station,lenox_station,2,gold
46,lenox_station,brookhaven_station,2,gold
47,brookhaven_station,chamblee_station,2,gold
48,chamblee_station,doraville_station,2,gold
49,bankhead_station,ashby_station,2,green
50,ashby_station,vine_city_station,2,green
51,vine_city_station,dome_station,2,green
52,dome_station,five_points_station,2,green
53,five_points_station,georgia_state_station,2,green
54,georgia_state_station,king_memorial_station,2,green
55,king_memorial_station,inman_park-reynoldstown_station,2,green
56,inman_park-reynoldstown_station,edgewood-candler_park_station,2,green
